1,300,0,1280,1280,200,200,1,1
2,300,0,1330,1330,250,250,1,1
3,300,0,1380,1380,200,200,1,1
4,600,1,1280,1280,500,500,1,2
5,840,0,1280,1280,500,500,1,1
6,870,0,1280,1280,610,610,1,1
7,900,0,1280,1280,520,520,1,1
8,912,1,1280,1280,530,530,1,1
9,930,0,1280,1280,550,550,1,1
10,948,0,1280,1280,520,520,1,1
11,1200,1,850,850,0,0,3,1
12,1200,1,900,900,0,0,3,1
13,1200,1,830,830,-30,-30,3,1
14,1200,1,920,920,-30,-30,3,1
15,1200,1,850,850,-60,-60,3,1
16,1200,1,900,900,-60,-60,3,1
17,1680,2,1130,1130,720,720,3,1
18,1980,0,1280,1280,200,200,1,1
19,2010,0,1280,1280,250,250,1,1
20,2040,0,1280,1280,220,220,1,1
21,2100,2,1280,1280,200,200,1,1
22,2310,0,750,750,0,0,3,1
23,2310,0,800,800,0,0,3,1
24,2310,0,730,730,-30,-30,3,1
25,2310,0,820,820,-30,-30,3,1
26,2310,0,750,750,-60,-60,3,1
27,2310,0,800,800,-60,-60,3,1
28,2310,3,1150,1150,720,720,3,1
